Designator,Mid X,Mid Y,Rotation,Layer
D83,30.849507,-44.145276,45.0,top
D84,28.810713,-41.094004,22.5,top
D85,28.094783,-37.494783,0.0,top
D86,28.810713,-33.895562,337.5,top
D87,30.849507,-30.84429,315.0,top
D88,33.900779,-28.805496,292.5,top
D89,37.5,-28.089566,270.0,top
D9,12.513596,-3.086196,270.0,top
D90,41.099221,-28.805496,247.5,top
D91,44.150493,-30.84429,225.0,top
D92,46.189287,-33.895562,202.5,top
D93,46.905217,-37.494783,180.0,top
D94,46.189287,-41.094004,157.5,top
D95,44.150493,-44.145276,135.0,top
D96,41.099221,-46.18407,112.5,top
D97,62.5,-46.905217,90.0,top
D98,58.900779,-46.189287,67.5,top
D99,55.849507,-44.150493,45.0,top
J1,55.08,23.7475,90.0,bottom
J2,30.08,23.8,90.0,bottom
J3,80.1,23.7475,90.0,bottom
J4,1.75,-27.54,0.0,bottom
J5,98.25,-27.54,0.0,bottom
Sw1,0.0016,0.0016,0.0,top
Sw2,50.0016,0.0016,0.0,top
